GeneID	Clid	Samples	TimePoint	Value	Type
SPBC609.04_285	1	285	D14	2.550765	ODEP
SPBC660.07_285	1	285	D2	4.932786	ODEP
SPBC660.07_285	1	285	D5	3.670143	ODEP
SPBC660.07_285	1	285	D14	2.183877	ODEP
SPBC800.07c_285	1	285	D2	1.539577	ODEP
SPBC800.07c_285	1	285	D5	1.333516	ODEP
SPBC800.07c_285	1	285	D14	1.443068	ODEP
SPBP16F5.04_285	1	285	D2	2.120152	ODEP
SPBP16F5.04_285	1	285	D5	3.302459	ODEP
SPBP16F5.04_285	1	285	D14	1.620747	ODEP
SPBP23A10.05_285	1	285	D2	2.848464	ODEP
SPBP23A10.05_285	1	285	D5	3.087670	ODEP
SPBP23A10.05_285	1	285	D14	3.663352	ODEP
SPCC1183.09c_285	1	285	D2	1.539759	ODEP
SPCC1183.09c_285	1	285	D5	1.681081	ODEP
SPCC1183.09c_285	1	285	D14	3.301721	ODEP
SPCC16A11.13_285	1	285	D2	2.602383	ODEP
SPCC16A11.13_285	1	285	D5	3.528530	ODEP
SPCC16A11.13_285	1	285	D14	3.906120	ODEP
SPCC16C4.15_285	1	285	D2	1.977027	ODEP
SPCC16C4.15_285	1	285	D5	2.122728	ODEP
SPCC16C4.15_285	1	285	D14	1.622822	ODEP
SPCC31H12.06_285	1	285	D2	2.733263	ODEP
SPCC31H12.06_285	1	285	D5	3.527867	ODEP
SPCC31H12.06_285	1	285	D14	3.245472	ODEP
SPCC417.02_285	1	285	D2	8.879170	ODEP
SPCC417.02_285	1	285	D5	6.094439	ODEP
SPCC417.02_285	1	285	D14	2.486919	ODEP
SPCC63.11_285	1	285	D2	2.612198	ODEP
SPCC63.11_285	1	285	D5	2.427339	ODEP
SPCC63.11_285	1	285	D14	2.639941	ODEP
SPCP31B10.08c_285	1	285	D2	3.327056	ODEP
SPCP31B10.08c_285	1	285	D5	1.964027	ODEP
SPCP31B10.08c_285	1	285	D14	4.398465	ODEP
YOL059W_285	1	285	D2	91.109900	ODEP
YOL059W_285	1	285	D5	96.813400	ODEP
YOL059W_285	1	285	D14	193.156000	ODEP
YOL156W_285	1	285	D2	2.270632	ODEP
YOL156W_285	1	285	D5	2.222984	ODEP
YOL156W_285	1	285	D14	3.119165	ODEP
YPL279C_285	1	285	D2	1.117932	ODEP
YPL279C_285	1	285	D5	1.161166	ODEP
YPL279C_285	1	285	D14	1.327722	ODEP
YPR193C_285	1	285	D2	127.681500	ODEP
YPR193C_285	1	285	D5	142.710667	ODEP
YPR193C_285	1	285	D14	103.787150	ODEP
SPAC19D5.02c_285	1	285	D2	3.092200	ODEP
SPAC19D5.02c_285	1	285	D5	2.683517	ODEP
SPAC19D5.02c_285	1	285	D14	5.778933	ODEP
SPAC7D4.15c_285	1	285	D2	2.377234	ODEP
SPAC7D4.15c_285	1	285	D5	2.818342	ODEP
SPAC7D4.15c_285	1	285	D14	2.163075	ODEP
SPBC18H10.03_285	1	285	D2	4.209351	ODEP
SPBC18H10.03_285	1	285	D5	4.492228	ODEP
SPBC18H10.03_285	1	285	D14	2.365774	ODEP
YBR240C_285	1	285	D2	153.440667	ODEP
YBR240C_285	1	285	D5	91.241833	ODEP
YBR240C_285	1	285	D14	68.332100	ODEP
YFL013C_285	1	285	D2	339.810667	ODEP
YFL013C_285	1	285	D5	573.362333	ODEP
YFL013C_285	1	285	D14	367.381000	ODEP
YIL160C_285	1	285	D2	112.643000	ODEP
YIL160C_285	1	285	D5	150.124667	ODEP
YIL160C_285	1	285	D14	96.226250	ODEP
YJL065C_285	1	285	D2	377.417333	ODEP
YJL065C_285	1	285	D5	470.167667	ODEP
YJL065C_285	1	285	D14	257.813000	ODEP
YJR111C_285	1	285	D2	212.984333	ODEP
YJR111C_285	1	285	D5	212.715000	ODEP
YJR111C_285	1	285	D14	74.781250	ODEP
YNL278W_285	1	285	D2	175.242000	ODEP
YNL278W_285	1	285	D5	261.095000	ODEP
YNL278W_285	1	285	D14	189.414500	ODEP
YOL082W_285	1	285	D2	684.113333	ODEP
YOL082W_285	1	285	D5	861.466333	ODEP
YOL082W_285	1	285	D14	528.797000	ODEP
SPAC25A8.01c_285	1	285	D2	2.628788	ODEP
SPAC25A8.01c_285	1	285	D5	2.001166	ODEP
SPAC25A8.01c_285	1	285	D14	1.152787	ODEP
SPBC106.12c_285	1	285	D2	1.440755	ODEP
SPBC106.12c_285	1	285	D5	2.948414	ODEP
SPBC106.12c_285	1	285	D14	2.039454	ODEP
SPBC19G7.06_285	1	285	D2	2.801586	ODEP
SPBC19G7.06_285	1	285	D5	2.569458	ODEP
SPBC19G7.06_285	1	285	D14	1.456626	ODEP
SPCC1494.07_285	1	285	D2	1.564675	ODEP
SPCC1494.07_285	1	285	D5	2.153802	ODEP
SPCC1494.07_285	1	285	D14	1.820840	ODEP
SPCC1682.14_285	1	285	D2	4.840387	ODEP
SPCC1682.14_285	1	285	D5	5.395293	ODEP
SPCC1682.14_285	1	285	D14	4.396785	ODEP
YOR389W_285	1	285	D2	237.025333	ODEP
YOR389W_285	1	285	D5	214.436333	ODEP
YOR389W_285	1	285	D14	197.368000	ODEP
SPAC1142.04_285	1	285	D2	3.771393	ODEP
SPAC1142.04_285	1	285	D5	1.653383	ODEP
SPAC1142.04_285	1	285	D14	1.270487	ODEP
SPBC1198.09_285	1	285	D2	2.759827	ODEP
SPBC1198.09_285	1	285	D5	1.445125	ODEP
SPBC1198.09_285	1	285	D14	1.363912	ODEP
SPBC215.15_285	1	285	D2	5.973493	ODEP
SPBC215.15_285	1	285	D5	6.402590	ODEP
SPBC215.15_285	1	285	D14	6.603050	ODEP
SPBC9B6.10_285	1	285	D2	3.050068	ODEP
SPBC9B6.10_285	1	285	D5	2.602679	ODEP
