GeneID	Clid	Samples	TimePoint	Value	Type
YDL219W_285	12	285	D5	186.492333	SEP
YDL219W_285	12	285	D14	68.895100	SEP
YDR023W_285	12	285	D2	3347.560000	SEP
YDR023W_285	12	285	D5	686.560667	SEP
YDR023W_285	12	285	D14	210.787500	SEP
YDR025W_285	12	285	D2	6497.313333	SEP
YDR025W_285	12	285	D5	1662.996667	SEP
YDR025W_285	12	285	D14	660.511000	SEP
YDR037W_285	12	285	D2	5063.036667	SEP
YDR037W_285	12	285	D5	1061.958000	SEP
YDR037W_285	12	285	D14	295.995500	SEP
YDR119W_285	12	285	D2	1404.436667	SEP
YDR119W_285	12	285	D5	303.477333	SEP
YDR119W_285	12	285	D14	62.228450	SEP
YDR144C_285	12	285	D2	289.603667	SEP
YDR144C_285	12	285	D5	32.300433	SEP
YDR144C_285	12	285	D14	1.388584	SEP
YDR146C_285	12	285	D2	132.151300	SEP
YDR146C_285	12	285	D5	40.891633	SEP
YDR146C_285	12	285	D14	31.069100	SEP
YDR226W_285	12	285	D2	4552.140000	SEP
YDR226W_285	12	285	D5	722.666667	SEP
YDR226W_285	12	285	D14	177.366000	SEP
YDR380W_285	12	285	D2	1686.153333	SEP
YDR380W_285	12	285	D5	119.076333	SEP
YDR380W_285	12	285	D14	454.049500	SEP
YDR518W_285	12	285	D2	2798.193333	SEP
YDR518W_285	12	285	D5	602.603333	SEP
YDR518W_285	12	285	D14	297.885500	SEP
YEL054C_285	12	285	D2	5934.963333	SEP
YEL054C_285	12	285	D5	1142.556667	SEP
YEL054C_285	12	285	D14	201.362500	SEP
YEL066W_285	12	285	D2	1278.143667	SEP
YEL066W_285	12	285	D5	243.001333	SEP
YEL066W_285	12	285	D14	52.038600	SEP
YER056C-A_285	12	285	D2	6486.636667	SEP
YER056C-A_285	12	285	D5	1549.076667	SEP
YER056C-A_285	12	285	D14	580.439500	SEP
YER070W_285	12	285	D2	3804.173333	SEP
YER070W_285	12	285	D5	608.905333	SEP
YER070W_285	12	285	D14	306.348000	SEP
YER102W_285	12	285	D2	8343.546667	SEP
YER102W_285	12	285	D5	1623.320000	SEP
YER102W_285	12	285	D14	210.218500	SEP
YER131W_285	12	285	D2	5060.550000	SEP
YER131W_285	12	285	D5	667.620333	SEP
YER131W_285	12	285	D14	294.067000	SEP
YFR032C-A_285	12	285	D2	9184.376667	SEP
YFR032C-A_285	12	285	D5	1842.403333	SEP
YFR032C-A_285	12	285	D14	776.098000	SEP
YGL021W_285	12	285	D2	677.512333	SEP
YGL021W_285	12	285	D5	148.536333	SEP
YGL021W_285	12	285	D14	75.099650	SEP
YGL031C_285	12	285	D2	7214.070000	SEP
YGL031C_285	12	285	D5	1799.053333	SEP
YGL031C_285	12	285	D14	838.222500	SEP
YGL105W_285	12	285	D2	2454.246667	SEP
YGL105W_285	12	285	D5	638.062000	SEP
YGL105W_285	12	285	D14	288.037000	SEP
YGL147C_285	12	285	D2	4813.416667	SEP
YGL147C_285	12	285	D5	437.768000	SEP
YGL147C_285	12	285	D14	333.282000	SEP
YGL202W_285	12	285	D2	1924.063333	SEP
YGL202W_285	12	285	D5	382.941667	SEP
YGL202W_285	12	285	D14	121.723800	SEP
YGL253W_285	12	285	D2	3261.343333	SEP
YGL253W_285	12	285	D5	324.381667	SEP
YGL253W_285	12	285	D14	102.351150	SEP
YGR034W_285	12	285	D2	5687.350000	SEP
YGR034W_285	12	285	D5	865.239000	SEP
YGR034W_285	12	285	D14	462.955500	SEP
