GeneID	Clid	Samples	TimePoint	Value	Type
YHR154W_285	12	285	D14	0.034752	SEP
YHR163W_285	12	285	D2	0.485202	SEP
YHR163W_285	12	285	D5	0.089111	SEP
YHR163W_285	12	285	D14	0.081156	SEP
YHR216W_285	12	285	D2	0.244913	SEP
YHR216W_285	12	285	D5	0.021860	SEP
YHR216W_285	12	285	D14	0.083531	SEP
YIL018W_285	12	285	D2	0.475979	SEP
YIL018W_285	12	285	D5	0.122175	SEP
YIL018W_285	12	285	D14	0.053988	SEP
YIL066C_285	12	285	D2	0.460636	SEP
YIL066C_285	12	285	D5	0.035118	SEP
YIL066C_285	12	285	D14	0.123564	SEP
YIL069C_285	12	285	D2	0.508386	SEP
YIL069C_285	12	285	D5	0.067934	SEP
YIL069C_285	12	285	D14	0.003392	SEP
YIL094C_285	12	285	D2	0.420473	SEP
YIL094C_285	12	285	D5	0.094347	SEP
YIL094C_285	12	285	D14	0.024938	SEP
YIL123W_285	12	285	D2	0.453378	SEP
YIL123W_285	12	285	D5	0.109608	SEP
YIL123W_285	12	285	D14	0.042822	SEP
YIL158W_285	12	285	D2	0.336248	SEP
YIL158W_285	12	285	D5	0.027515	SEP
YIL158W_285	12	285	D14	0.028643	SEP
YJL177W_285	12	285	D2	0.487157	SEP
YJL177W_285	12	285	D5	0.082288	SEP
YJL177W_285	12	285	D14	0.034768	SEP
YJL190C_285	12	285	D2	0.473539	SEP
YJL190C_285	12	285	D5	0.022687	SEP
YJL190C_285	12	285	D14	0.008470	SEP
YJL200C_285	12	285	D2	0.357353	SEP
YJL200C_285	12	285	D5	0.068296	SEP
YJL200C_285	12	285	D14	0.034144	SEP
YJL213W_285	12	285	D2	0.476126	SEP
YJL213W_285	12	285	D5	0.076525	SEP
YJL213W_285	12	285	D14	0.057835	SEP
YJR047C_285	12	285	D2	0.460358	SEP
YJR047C_285	12	285	D5	0.077325	SEP
YJR047C_285	12	285	D14	0.071966	SEP
YJR092W_285	12	285	D2	0.365864	SEP
YJR092W_285	12	285	D5	0.082002	SEP
YJR092W_285	12	285	D14	0.021955	SEP
YJR094W-A_285	12	285	D2	0.437371	SEP
YJR094W-A_285	12	285	D5	0.101041	SEP
YJR094W-A_285	12	285	D14	0.026314	SEP
YJR143C_285	12	285	D2	0.491600	SEP
YJR143C_285	12	285	D5	0.085747	SEP
YJR143C_285	12	285	D14	0.027497	SEP
YKL006W_285	12	285	D2	0.498033	SEP
YKL006W_285	12	285	D5	0.110246	SEP
YKL006W_285	12	285	D14	0.026942	SEP
YKL081W_285	12	285	D2	0.483025	SEP
YKL081W_285	12	285	D5	0.067226	SEP
YKL081W_285	12	285	D14	0.048221	SEP
YKR039W_285	12	285	D2	0.576785	SEP
YKR039W_285	12	285	D5	0.085524	SEP
YKR039W_285	12	285	D14	0.126011	SEP
YLL045C_285	12	285	D2	0.454075	SEP
YLL045C_285	12	285	D5	0.134016	SEP
YLL045C_285	12	285	D14	0.025700	SEP
YLR029C_285	12	285	D2	0.445239	SEP
YLR029C_285	12	285	D5	0.060249	SEP
YLR029C_285	12	285	D14	0.029105	SEP
YLR048W_285	12	285	D2	0.473681	SEP
YLR048W_285	12	285	D5	0.096448	SEP
YLR048W_285	12	285	D14	0.009199	SEP
YLR060W_285	12	285	D2	0.398088	SEP
YLR060W_285	12	285	D5	0.122562	SEP
YLR060W_285	12	285	D14	0.014641	SEP
YLR061W_285	12	285	D2	0.476327	SEP
YLR061W_285	12	285	D5	0.105280	SEP
YLR061W_285	12	285	D14	0.036378	SEP
YLR212C_285	12	285	D2	0.443677	SEP
YLR212C_285	12	285	D5	0.152715	SEP
YLR212C_285	12	285	D14	0.013435	SEP
YLR264W_285	12	285	D2	0.485001	SEP
YLR264W_285	12	285	D5	0.071405	SEP
YLR264W_285	12	285	D14	0.006648	SEP
YLR367W_285	12	285	D2	0.529906	SEP
YLR367W_285	12	285	D5	0.073217	SEP
