GeneID	Clid	Samples	TimePoint	Value	Type
SPCC31H12.06_285	1	285	D5	0.191290	ODEP
SPCC31H12.06_285	1	285	D14	0.175977	ODEP
SPCC417.02_285	1	285	D2	0.349821	ODEP
SPCC417.02_285	1	285	D5	0.240108	ODEP
SPCC417.02_285	1	285	D14	0.097979	ODEP
SPCC63.11_285	1	285	D2	0.163588	ODEP
SPCC63.11_285	1	285	D5	0.152011	ODEP
SPCC63.11_285	1	285	D14	0.165325	ODEP
SPCP31B10.08c_285	1	285	D2	0.220198	ODEP
SPCP31B10.08c_285	1	285	D5	0.129987	ODEP
SPCP31B10.08c_285	1	285	D14	0.291108	ODEP
YOL059W_285	1	285	D2	0.066805	ODEP
YOL059W_285	1	285	D5	0.070987	ODEP
YOL059W_285	1	285	D14	0.141628	ODEP
YOL156W_285	1	285	D2	0.168896	ODEP
YOL156W_285	1	285	D5	0.165352	ODEP
YOL156W_285	1	285	D14	0.232013	ODEP
YPL279C_285	1	285	D2	0.130078	ODEP
YPL279C_285	1	285	D5	0.135108	ODEP
YPL279C_285	1	285	D14	0.154488	ODEP
YPR193C_285	1	285	D2	0.133178	ODEP
YPR193C_285	1	285	D5	0.148854	ODEP
YPR193C_285	1	285	D14	0.108255	ODEP
SPAC19D5.02c_285	1	285	D2	0.160138	ODEP
SPAC19D5.02c_285	1	285	D5	0.138973	ODEP
SPAC19D5.02c_285	1	285	D14	0.299277	ODEP
SPAC7D4.15c_285	1	285	D2	0.175704	ODEP
SPAC7D4.15c_285	1	285	D5	0.208307	ODEP
SPAC7D4.15c_285	1	285	D14	0.159876	ODEP
SPBC18H10.03_285	1	285	D2	0.261195	ODEP
SPBC18H10.03_285	1	285	D5	0.278748	ODEP
SPBC18H10.03_285	1	285	D14	0.146799	ODEP
YBR240C_285	1	285	D2	0.260937	ODEP
YBR240C_285	1	285	D5	0.155163	ODEP
YBR240C_285	1	285	D14	0.116204	ODEP
YFL013C_285	1	285	D2	0.154782	ODEP
YFL013C_285	1	285	D5	0.261163	ODEP
YFL013C_285	1	285	D14	0.167340	ODEP
YIL160C_285	1	285	D2	0.218405	ODEP
YIL160C_285	1	285	D5	0.291079	ODEP
YIL160C_285	1	285	D14	0.186574	ODEP
YJL065C_285	1	285	D2	0.171547	ODEP
YJL065C_285	1	285	D5	0.213705	ODEP
YJL065C_285	1	285	D14	0.117183	ODEP
YJR111C_285	1	285	D2	0.212016	ODEP
YJR111C_285	1	285	D5	0.211748	ODEP
YJR111C_285	1	285	D14	0.074441	ODEP
YNL278W_285	1	285	D2	0.147373	ODEP
YNL278W_285	1	285	D5	0.219573	ODEP
YNL278W_285	1	285	D14	0.159292	ODEP
YOL082W_285	1	285	D2	0.173145	ODEP
YOL082W_285	1	285	D5	0.218032	ODEP
YOL082W_285	1	285	D14	0.133835	ODEP
SPAC25A8.01c_285	1	285	D2	0.215933	ODEP
SPAC25A8.01c_285	1	285	D5	0.164379	ODEP
SPAC25A8.01c_285	1	285	D14	0.094692	ODEP
SPBC106.12c_285	1	285	D2	0.122712	ODEP
SPBC106.12c_285	1	285	D5	0.251123	ODEP
SPBC106.12c_285	1	285	D14	0.173705	ODEP
SPBC19G7.06_285	1	285	D2	0.265109	ODEP
SPBC19G7.06_285	1	285	D5	0.243144	ODEP
SPBC19G7.06_285	1	285	D14	0.137838	ODEP
SPCC1494.07_285	1	285	D2	0.128209	ODEP
SPCC1494.07_285	1	285	D5	0.176482	ODEP
SPCC1494.07_285	1	285	D14	0.149199	ODEP
SPCC1682.14_285	1	285	D2	0.171269	ODEP
SPCC1682.14_285	1	285	D5	0.190903	ODEP
SPCC1682.14_285	1	285	D14	0.155573	ODEP
YOR389W_285	1	285	D2	0.178927	ODEP
YOR389W_285	1	285	D5	0.161875	ODEP
YOR389W_285	1	285	D14	0.148990	ODEP
SPAC1142.04_285	1	285	D2	0.183878	ODEP
SPAC1142.04_285	1	285	D5	0.080612	ODEP
SPAC1142.04_285	1	285	D14	0.061944	ODEP
SPBC1198.09_285	1	285	D2	0.216730	ODEP
SPBC1198.09_285	1	285	D5	0.113486	ODEP
SPBC1198.09_285	1	285	D14	0.107109	ODEP
SPBC215.15_285	1	285	D2	0.178428	ODEP
SPBC215.15_285	1	285	D5	0.191245	ODEP
SPBC215.15_285	1	285	D14	0.197233	ODEP
SPBC9B6.10_285	1	285	D2	0.165110	ODEP
SPBC9B6.10_285	1	285	D5	0.140891	ODEP
SPBC9B6.10_285	1	285	D14	0.136113	ODEP
SPBC26H8.13c_285	1	285	D2	0.101916	ODEP
SPBC26H8.13c_285	1	285	D5	0.095625	ODEP
SPBC26H8.13c_285	1	285	D14	0.117690	ODEP
SPCC1020.06c_285	1	285	D2	0.227178	ODEP
SPCC1020.06c_285	1	285	D5	0.106208	ODEP
SPCC1020.06c_285	1	285	D14	0.180878	ODEP
SPCC794.03_285	1	285	D2	0.196040	ODEP
SPCC794.03_285	1	285	D5	0.222029	ODEP
SPCC794.03_285	1	285	D14	0.137488	ODEP
YGL194C_285	1	285	D2	0.064008	ODEP
YGL194C_285	1	285	D5	0.165958	ODEP
YGL194C_285	1	285	D14	0.128971	ODEP
SPAC13C5.05c_285	1	285	D2	0.223119	ODEP
SPAC13C5.05c_285	1	285	D5	0.168637	ODEP
SPAC13C5.05c_285	1	285	D14	0.181211	ODEP
SPAC1142.03c_BM45	1	BM45	D2	0.294387	ODEP
SPAC1142.03c_BM45	1	BM45	D5	0.327724	ODEP
SPAC1142.03c_BM45	1	BM45	D14	0.206718	ODEP
SPAC12B10.13_BM45	1	BM45	D2	0.265019	ODEP
SPAC12B10.13_BM45	1	BM45	D5	0.228928	ODEP
SPAC12B10.13_BM45	1	BM45	D14	0.205830	ODEP
SPAC15F9.01c_BM45	1	BM45	D2	0.376577	ODEP
SPAC15F9.01c_BM45	1	BM45	D5	0.126828	ODEP
SPAC15F9.01c_BM45	1	BM45	D14	0.141368	ODEP
SPAC1851.02_BM45	1	BM45	D2	0.327291	ODEP
SPAC1851.02_BM45	1	BM45	D5	0.192011	ODEP
SPAC1851.02_BM45	1	BM45	D14	0.301595	ODEP
SPAC19A8.03_BM45	1	BM45	D2	0.448398	ODEP
SPAC19A8.03_BM45	1	BM45	D5	0.256564	ODEP
SPAC19A8.03_BM45	1	BM45	D14	0.086840	ODEP
SPAC20G8.09c_BM45	1	BM45	D2	0.349642	ODEP
SPAC20G8.09c_BM45	1	BM45	D5	0.201696	ODEP
SPAC20G8.09c_BM45	1	BM45	D14	0.209883	ODEP
SPAC222.09_BM45	1	BM45	D2	0.371255	ODEP
SPAC222.09_BM45	1	BM45	D5	0.253762	ODEP
SPAC222.09_BM45	1	BM45	D14	0.081672	ODEP
SPAC227.05_BM45	1	BM45	D2	0.213844	ODEP
SPAC227.05_BM45	1	BM45	D5	0.227744	ODEP
SPAC227.05_BM45	1	BM45	D14	0.113439	ODEP
SPAC22E12.03c_BM45	1	BM45	D2	0.183266	ODEP
SPAC22E12.03c_BM45	1	BM45	D5	0.278833	ODEP
SPAC22E12.03c_BM45	1	BM45	D14	0.129958	ODEP
SPAC22F8.10c_BM45	1	BM45	D2	0.376594	ODEP
SPAC22F8.10c_BM45	1	BM45	D5	0.186776	ODEP
SPAC22F8.10c_BM45	1	BM45	D14	0.126694	ODEP
SPAC22G7.11c_BM45	1	BM45	D2	0.259623	ODEP
SPAC22G7.11c_BM45	1	BM45	D5	0.141547	ODEP
SPAC22G7.11c_BM45	1	BM45	D14	0.130128	ODEP
SPAC23A1.06c_BM45	1	BM45	D2	0.455010	ODEP
SPAC23A1.06c_BM45	1	BM45	D5	0.275683	ODEP
SPAC23A1.06c_BM45	1	BM45	D14	0.221639	ODEP
SPAC24H6.06_BM45	1	BM45	D2	0.539580	ODEP
SPAC24H6.06_BM45	1	BM45	D5	0.110939	ODEP
SPAC24H6.06_BM45	1	BM45	D14	0.299212	ODEP
SPAC27F1.08_BM45	1	BM45	D2	0.374910	ODEP
SPAC27F1.08_BM45	1	BM45	D5	0.263518	ODEP
SPAC27F1.08_BM45	1	BM45	D14	0.241250	ODEP
SPAC323.08_BM45	1	BM45	D2	0.357398	ODEP
SPAC323.08_BM45	1	BM45	D5	0.195137	ODEP
SPAC323.08_BM45	1	BM45	D14	0.165997	ODEP
SPAC3A12.13c_BM45	1	BM45	D2	0.313661	ODEP
SPAC3A12.13c_BM45	1	BM45	D5	0.153735	ODEP
SPAC3A12.13c_BM45	1	BM45	D14	0.180258	ODEP
SPAC513.07_BM45	1	BM45	D2	0.303917	ODEP
SPAC513.07_BM45	1	BM45	D5	0.196901	ODEP
SPAC513.07_BM45	1	BM45	D14	0.116642	ODEP
SPAC589.04_BM45	1	BM45	D2	0.276856	ODEP
SPAC589.04_BM45	1	BM45	D5	0.132510	ODEP
SPAC589.04_BM45	1	BM45	D14	0.181762	ODEP
SPAC644.17c_BM45	1	BM45	D2	0.264412	ODEP
SPAC644.17c_BM45	1	BM45	D5	0.167073	ODEP
