GeneID	Clid	Type
YML115C	16	ODEP
YMR019W	16	ODEP
YMR059W	16	ODEP
YMR092C	16	ODEP
YMR098C	16	ODEP
YMR112C	16	ODEP
YMR113W	16	ODEP
YMR121C	16	ODEP
YMR152W	16	ODEP
YMR218C	16	ODEP
YMR236W	16	ODEP
YMR263W	16	ODEP
YMR267W	16	ODEP
YMR277W	16	ODEP
YMR282C	16	ODEP
YMR285C	16	ODEP
YNL041C	16	ODEP
YNL139C	16	ODEP
YNL146W	16	ODEP
YNL201C	16	ODEP
YNL225C	16	ODEP
YNL292W	16	ODEP
YNL310C	16	ODEP
YNR035C	16	ODEP
YNR054C	16	ODEP
YOL034W	16	ODEP
YOL061W	16	ODEP
YOL095C	16	ODEP
YOL140W	16	ODEP
YOR038C	16	ODEP
YOR058C	16	ODEP
YOR109W	16	ODEP
YOR111W	16	ODEP
YOR125C	16	ODEP
YOR142W	16	ODEP
YOR159C	16	ODEP
YOR236W	16	ODEP
YOR279C	16	ODEP
YOR337W	16	ODEP
YOR350C	16	ODEP
YPL001W	16	ODEP
YPL011C	16	ODEP
YPL029W	16	ODEP
YPL065W	16	ODEP
YPL082C	16	ODEP
YPL098C	16	ODEP
YPL103C	16	ODEP
YPL105C	16	ODEP
YPL118W	16	ODEP
YPL126W	16	ODEP
YPL235W	16	ODEP
YPL249C	16	ODEP
YPL254W	16	ODEP
YPR082C	16	ODEP
YPR129W	16	ODEP
YPR176C	16	ODEP
YPR180W	16	ODEP
YPR188C	16	ODEP
YDR117C	16	ODEP
YJR140C	16	ODEP
YLR097C	16	ODEP
YIL034C	16	ODEP
YEL062W	16	ODEP
YGL060W	16	ODEP
YHR073W	16	ODEP
YJL071W	16	ODEP
SPAC10F6.16	19	ODEP
SPAC11E3.12	19	ODEP
SPAC12B10.02c	19	ODEP
SPAC17A2.05	19	ODEP
SPAC17H9.10c	19	ODEP
SPAC19A8.06	19	ODEP
SPAC227.10	19	ODEP
SPAC227.12	19	ODEP
SPAC22H10.02	19	ODEP
SPAC30C2.04	19	ODEP
SPAC31G5.06	19	ODEP
SPAC3H1.01c	19	ODEP
SPAC3H1.05	19	ODEP
SPAC3H1.07	19	ODEP
SPAC3H8.06	19	ODEP
SPAC4A8.02c	19	ODEP
SPAC4G8.07c	19	ODEP
SPAC4G8.15c	19	ODEP
SPAC4H3.13	19	ODEP
SPAC6B12.13	19	ODEP
SPAC6G9.07c	19	ODEP
SPAC806.02c	19	ODEP
SPAC959.03c	19	ODEP
SPAC9E9.05	19	ODEP
SPAPB18E9.01	19	ODEP
SPBC1271.05c	19	ODEP
SPBC14C8.08c	19	ODEP
SPBC16C6.08c	19	ODEP
SPBC18H10.11c	19	ODEP
SPBC21.02	19	ODEP
SPBC21.04	19	ODEP
SPBC21.07c	19	ODEP
SPBC25H2.11c	19	ODEP
SPBC2A9.05c	19	ODEP
SPBC2D10.06	19	ODEP
SPBC365.07c	19	ODEP
SPBC365.08c	19	ODEP
SPBC646.04	19	ODEP
SPBC660.10	19	ODEP
SPBC660.17c	19	ODEP
SPBC6B1.05c	19	ODEP
SPBC713.10	19	ODEP
SPBPB2B2.09c	19	ODEP
SPBPB8B6.02c	19	ODEP
SPCC1322.02	19	ODEP
SPCC16C4.12	19	ODEP
SPCC188.07	19	ODEP
SPCC191.08	19	ODEP
SPCC320.11c	19	ODEP
SPCC338.15	19	ODEP
SPCC622.07	19	ODEP
SPCC63.04	19	ODEP
SPCC794.08	19	ODEP
SPAC8E11.10	19	ODEP
YNL250W	19	ODEP
YJR149W	19	ODEP
SPAC1B3.17	19	ODEP
SPAC23H3.06	19	ODEP
SPAC589.11	19	ODEP
SPAC1006.01	21	ODEP
SPAC1006.03c	21	ODEP
SPAC1039.04	21	ODEP
SPAC17A2.06c	21	ODEP
SPAC17A5.07c	21	ODEP
SPAC17G8.02	21	ODEP
SPAC1B1.02c	21	ODEP
SPAC1B3.13	21	ODEP
SPAC1D4.07c	21	ODEP
SPAC29A4.17c	21	ODEP
SPAC30D11.12	21	ODEP
SPAC631.02	21	ODEP
SPAC637.12c	21	ODEP
SPAC664.02c	21	ODEP
SPAC6F12.04	21	ODEP
SPAC869.03c	21	ODEP
SPAP27G11.12	21	ODEP
SPAP7G5.05	21	ODEP
SPAP8A3.07c	21	ODEP
SPBC11B10.07c	21	ODEP
SPBC11G11.07	21	ODEP
SPBC1306.02	21	ODEP
SPBC14C8.09c	21	ODEP
SPBC1683.08	21	ODEP
SPBC16H5.10c	21	ODEP
SPBC1703.14c	21	ODEP
SPBC1734.09	21	ODEP
SPBC17A3.07	21	ODEP
SPBC17D1.04	21	ODEP
SPBC18E5.05c	21	ODEP
SPBC18H10.08c	21	ODEP
SPBC19G7.02	21	ODEP
SPBC19G7.13	21	ODEP
SPBC21D10.06c	21	ODEP
SPBC21H7.03c	21	ODEP
SPBC24C6.06	21	ODEP
SPBC2G5.05	21	ODEP
SPBC409.16c	21	ODEP
SPBC582.05c	21	ODEP
SPBC6B1.06c	21	ODEP
SPBC725.16	21	ODEP
SPBC902.06	21	ODEP
SPBC947.08c	21	ODEP
SPBP22H7.03	21	ODEP
SPBP8B7.08c	21	ODEP
SPBP8B7.13	21	ODEP
SPBP8B7.23	21	ODEP
SPBP8B7.29	21	ODEP
SPCC1020.01c	21	ODEP
SPCC1442.16c	21	ODEP
SPCC14G10.02	21	ODEP
SPCC1739.05	21	ODEP
SPCC188.12	21	ODEP
SPCC576.17c	21	ODEP
SPCC613.05c	21	ODEP
SPCC645.03c	21	ODEP
SPCC663.07c	21	ODEP
SPCC736.06	21	ODEP
SPCC737.05	21	ODEP
SPCC777.06c	21	ODEP
SPCC965.12	21	ODEP
YAL068C	21	ODEP
YBL101W-B	21	ODEP
YEL046C	21	ODEP
YOR274W	21	ODEP
SPAC25B8.16	21	ODEP
SPBC36B7.03	21	ODEP
SPAC12B10.15c	21	ODEP
SPAC1565.08	21	ODEP
SPAC637.08	21	ODEP
SPCC1739.02c	21	ODEP
SPAC1093.03	21	ODEP
SPAC22F3.11c	21	ODEP
SPBC887.05c	21	ODEP
